obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"383.4679"	"383.46784"	"7"	"7.5e+05"	D		
""	"389.46601"	""	"5.7e+04"	D		
"394.7505"	"394.750472"	"7"	"5.6e+04"	C+		
"394.8979"	"394.897881"	"35"	"4.6e+05"	B		
"404.4418"	"404.441804"	"50"	"3.3e+05"	B		
""	"404.596541"	""	"4.1e+04"	B		
""	"405.452576"	""	"2.7e+04"	C+		
"415.8590"	"415.859070"	"400"	"1.40e+06"	B		
"416.4180"	"416.417952"	"50"	"2.9e+05"	B		
"418.1884"	"418.188354"	"50"	"5.6e+05"	B		
"419.0713"	"419.071294"	"100"	"2.80e+05"	B		
"419.1029"	"419.102932"	"50"	"5.4e+05"	C+		
"419.8317"	"419.831729"	"200"	"2.57e+06"	B		
"420.0674"	"420.067472"	"400"	"9.7e+05"	B+		
"425.1185"	"425.11849"	"25"	"1.11e+05"	C+		
"425.9362"	"425.93617"	"200"	"3.98e+06"	B+		
"426.6286"	"426.62867"	"100"	"3.1e+05"	C+		
"427.2169"	"427.21689"	"150"	"8.0e+05"	B		
"430.0101"	"430.01009"	"100"	"3.77e+05"	B+		
"433.3561"	"433.35612"	"100"	"5.7e+05"	B+		
"433.5338"	"433.53378"	"50"	"3.9e+05"	C+		
"434.5168"	"434.51679"	"25"	"3.0e+05"	B		
""	"436.37949"	""	"1.20e+04"	B		
""	"442.39944"	""	"7.3e+03"	C+		
"451.0733"	"451.07334"	"100"	"1.18e+06"	B+		
"452.2323"	"452.23234"	"20"	"9.0e+04"	B		
""	"454.4746"	""	"8.3e+04"	E		
""	"455.4324"	""	"3.8e+04"	E		
""	"458.4956"	""	"1.6e+05"	E		
""	"458.6611"	""	"2.3e+05"	E		
""	"458.7209"	""	"4.9e+05"	E		
""	"458.92893"	""	"6.2e+03"	C		
"459.6097"	"459.60966"	"15"	"9.5e+04"	B		
"462.8441"	"462.84409"	"7"	"3.83e+04"	B+		
""	"464.2137"	""	"9.6e+04"	E		
""	"464.7489"	""	"1.2e+05"	E		
"470.2316"	"470.23164"	"15"	"1.09e+05"	B		
""	"474.6821"	""	"3.6e+05"	E		
""	"475.29388"	""	"4.5e+05"	E		
""	"476.86729"	""	"8.6e+05"	D		
""	"479.8742"	""	"8.8e+04"	E		
""	"483.5970"	""	"9.3e+04"	E		
""	"483.6697"	""	"1.02e+05"	C		
""	"487.62607"	""	"7.8e+05"	D		
""	"488.6290"	""	"1.2e+05"	E		
""	"488.79471"	""	"1.3e+06"	D		
""	"489.46909"	""	"1.8e+06"	D		
""	"492.1034"	""	"5.9e+04"	E		
""	"493.7720"	""	"3.6e+04"	E		
""	"495.6750"	""	"1.8e+05"	E		
""	"498.9943"	""	"1.1e+05"	E		
""	"503.2024"	""	"8.2e+04"	E		
""	"504.8811"	""	"4.6e+05"	D		
""	"505.4176"	""	"4.5e+05"	D		
""	"505.6529"	""	"5.7e+05"	D		
""	"506.0079"	""	"3.7e+05"	E		
""	"507.0977"	""	"2.6e+05"	E		
""	"507.3076"	""	"5.9e+04"	D		
""	"507.8033"	""	"4.7e+04"	E		
""	"508.7084"	""	"1.6e+05"	E		
""	"510.4729"	""	"8.7e+04"	E		
