obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,tp_ref,line_ref,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k
583.4263,583.42636,5.0,520000.0,C,"T1218n,T1164n",L2634,,,,,,,,
586.031,586.03102,10.0,285000.0,C,"T1218n,T1164n",L2634,,,,,,,,
588.2624,588.2624,15.0,1230000.0,C,T1218n,L2634,,,,,,,,
588.8584,588.85835,25.0,1290000.0,C,T1218n,L2634,,,,,,,,
591.2085,591.2085,50.0,1050000.0,C,"T1218n,T1164n",L2634,,,,,,,,
592.8813,592.88125,15.0,1100000.0,D+,T1218n,L2634,,,,,,,,
594.2669,594.26682,5.0,180000.0,D,T1218n,L2634,,,,,,,,
598.7302,598.73013,7.0,120000.0,D,T1218n,L2634,,,,,,,,
599.8999,599.8998,5.0,140000.0,D,T1218n,L2634,,,,,,,,
602.515,602.515,5.0,900000.0,D+,T1218n,L2634,,,,,,,,
"=""602.5150""","=""602.5150""","=""5""","=""9.0e+05""",D+,,,"=""107289.7001""","=""123882.203""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1"""
603.2127,603.2127,70.0,2460000.0,C,"T1218n,T1164n",L2634,,,,,,,,
"=""603.2127""","=""603.21270""","=""70""","=""2.46e+06""",C,,,"=""105462.7596""","=""122036.0704""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4"""
"=""604.3223""","=""604.32232""","=""35""","=""1.47e+06""",C,,,"=""105617.2700""","=""122160.1502""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3"""
604.3223,604.32232,35.0,1470000.0,C,T1218n,L2634,,,,,,,,
605.2723,605.27226,10.0,190000.0,D+,T1218n,L2634,,,,,,,,
"=""605.2723""","=""605.27226""","=""10""","=""1.9e+05""",D+,,,"=""104102.0990""","=""120619.0162""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2"""
"=""605.9372""","=""605.93723""","=""20""","=""4.2e+05""",C,,,"=""104102.0990""","=""120600.8905""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2"""
605.9372,605.93723,20.0,420000.0,C,"T1218n,T1164n",L2634,,,,,,,,
609.8803,609.88031,7.0,520000.0,D+,T1218n,L2634,,,,,,,,
"=""609.8803""","=""609.88031""","=""7""","=""5.2e+05""",D+,,,"=""106087.2598""","=""122479.3820""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1"""
610.5635,610.56348,10.0,1210000.0,C,T1218n,L2634,,,,,,,,
"=""610.5635""","=""610.56348""","=""10""","=""1.21e+06""",C,,,"=""107131.7086""","=""123505.4896""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2"""
614.5441,614.54412,10.0,760000.0,C,T1218n,L2634,,,,,,,,
"=""614.5441""","=""614.54412""","=""10""","=""7.6e+05""",C,,,"=""107289.7001""","=""123557.4227""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3"""
617.0174,617.01738,7.0,500000.0,C,T1218n,L2634,,,,,,,,
"=""617.0174""","=""617.01738""","=""7""","=""5.0e+05""",C,,,"=""106237.5518""","=""122440.0672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2"""
617.3096,617.3096,10.0,670000.0,C,T1218n,L2634,,,,,,,,
"=""617.3096""","=""617.3096""","=""10""","=""6.7e+05""",C,,,"=""106087.2598""","=""122282.104""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2"""
"=""621.2503""","=""621.2503""","=""10""","=""3.9e+05""",D+,,,"=""106237.5518""","=""122329.672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3"""
"=""621.5938""","=""621.59387""","=""5""","=""5.7e+05""",D+,,,"=""107289.7001""","=""123372.9253""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2"""
"=""629.6872""","=""629.68726""","=""7""","=""9.0e+05""",D+,,,"=""107496.4166""","=""123372.9253""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2"""
"=""630.7657""","=""630.76569""","=""15""","=""6.0e+05""",D+,,,"=""106237.5518""","=""122086.9164""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2"""
"=""636.9575""","=""636.95748""","=""7""","=""4.2e+05""",D+,,,"=""106237.5518""","=""121932.8477""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1"""
"=""638.4717""","=""638.47167""","=""20""","=""4.21e+05""",C,,,"=""104102.0990""","=""119760.1725""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1"""
,578.35365,,81000.0,D,T1218n,,,,,,,,,
,578.94741,,46000.0,D,T1218n,,,,,,,,,
,579.0401,,34000.0,D,T1218n,,,,,,,,,
,580.20798,,420000.0,D,T1218n,,,,,,,,,
,584.3779,,33000.0,D,T1218n,,,,,,,,,
,591.6598,,59000.0,D,T1218n,,,,,,,,,
,592.7125,,37000.0,D+,T1218n,,,,,,,,,
,594.0855,,120000.0,D,T1218n,,,,,,,,,
,594.3888,,36000.0,D,T1218n,,,,,,,,,
,594.9259,,150000.0,D,T1218n,,,,,,,,,
,596.448,,77000.0,D,T1218n,,,,,,,,,
,596.832,,180000.0,D,T1218n,,,,,,,,,
,597.1601,,1100000.0,D+,T1218n,,,,,,,,,
,598.1923,,12000.0,D,T1218n,,,,,,,,,
,598.8144,,61000.0,D,T1218n,,,,,,,,,
,599.4692,,26000.0,D,T1164n,,,,,,,,,
,600.5725,,140000.0,D+,T1218n,,,,,,,,,
,601.36772,,140000.0,D+,T1218n,,,,,,,,,
,606.47502,,58000.0,D,T1218n,,,,,,,,,
,608.1244,,75000.0,D,T1218n,,,,,,,,,
,608.5879,,9000.0,,T1218n,,,,,,,,,
,609.07849,,300000.0,D,T1218n,,,,,,,,,
,610.1161,,330000.0,D+,T1218n,,,,,,,,,
,610.459,,340000.0,D,T1218n,,,,,,,,,
,611.34657,,47000.0,D+,T1218n,,,,,,,,,
,611.96565,,51000.0,D+,T1218n,,,,,,,,,
,612.1879,,13000.0,D,T1164n,,,,,,,,,
,612.74159,,110000.0,D+,T1218n,,,,,,,,,
,612.8724,,86000.0,D,T1164n,,,,,,,,,
,615.52382,,510000.0,D,T1218n,,,,,,,,,
,616.51229,,98900.0,C,T1218n,,,,,,,,,
,617.94195,,66000.0,D,T1218n,,,,,,,,,
"=""""","=""600.5725""","=""""","=""1.4e+05""",D+,,,"=""107289.7001""","=""123935.870""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1"""
"=""""","=""601.36772""","=""""","=""1.4e+05""",D+,,,"=""105462.7596""","=""122086.9164""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2"""
"=""""","=""606.47502""","=""""","=""5.8e+04""",D,,,"=""107289.7001""","=""123773.8614""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3"""
"=""""","=""608.1244""","=""""","=""7.5e+04""",D,,,"=""107496.4166""","=""123935.870""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1"""
"=""""","=""608.5879""","=""""","=""9.0e+03""",,,,"=""106087.2598""","=""122514.192""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1"""
"=""""","=""609.07849""","=""""","=""3.0e+05""",D,,,"=""107054.2720""","=""123467.9733""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1"""
"=""""","=""610.1161""","=""""","=""3.3e+05""",D+,,,"=""107496.4166""","=""123882.203""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1"""
"=""""","=""610.4590""","=""""","=""3.4e+05""",D,,,"=""107496.4166""","=""123873.000""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0"""
"=""""","=""611.34657""","=""""","=""4.7e+04""",D+,,,"=""106087.2598""","=""122440.0672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2"""
"=""""","=""611.96565""","=""""","=""5.1e+04""",D+,,,"=""107131.7086""","=""123467.9733""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1"""
"=""""","=""612.1879""","=""""","=""1.3e+04""",D,,,"=""107496.4166""","=""123826.750""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2"""
"=""""","=""612.74159""","=""""","=""1.1e+05""",D+,,,"=""105617.2700""","=""121932.8477""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1"""
"=""""","=""612.8724""","=""""","=""8.6e+04""",D,,,"=""107496.4166""","=""123808.513""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2"""
"=""""","=""615.52382""","=""""","=""5.1e+05""",D,,,"=""106237.5518""","=""122479.3820""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1"""
"=""""","=""616.51229""","=""""","=""9.89e+04""",C,,,"=""107289.7001""","=""123505.4896""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2"""
"=""""","=""617.94195""","=""""","=""6.6e+04""",D,,,"=""107289.7001""","=""123467.9733""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1"""
"=""""","=""623.0921""","=""""","=""1.2e+04""",D,,,"=""106237.5518""","=""122282.104""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2"""
"=""""","=""624.3390""","=""""","=""1.3e+05""",D,,,"=""107496.4166""","=""123508.927""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0"""
