obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"380.31720"	"380.317205"	"69"	"1.5e+08"	D		
"380.85745"	"380.857439"	"14"	"1.0e+06"	C		
"380.94558"	"380.945576"	"91"	"4.4e+07"	D		
"381.1212"	"381.121124"	"2"	""			
"381.7380"	"381.738108"	"1h"	""			
"381.90150"	"381.901539"	"8"	"3.6e+05"	D		
"382.3254"	"382.325375"	"3"	""			
"382.56723"	"382.567243"	"19"	"7.6e+07"	D		
"382.68067"	"382.680692"	"30"	"2.81e+07"	B		
"383.0165"	"383.016452"	"1"	""			
"383.03951"	"383.039372"	"6"	"4.e+05"	D		
"383.05209"	"383.052004"	"7"	""			
"383.8239"	"383.8239"	"1"	""			
"384.15186"	"384.151838"	"18"	"2.69e+07"	B		
"384.45622"	"384.456216"	"6"	"3.e+05"	E		
"384.47306"	"384.473084"	"5"	"4.8e+06"	B		
"384.54049"	"384.540506"	"32"	"1.6e+06"	C		
"385.05808"	"385.058079"	"263"	"3.87e+07"	B		
"385.51603"	"385.516032"	"6"	"1.5e+06"	D		
"385.61374"	"385.613749"	"6"	""			
"386.1348"	"386.134778"	"3"	""			
"386.85281"	"386.852819"	"166"	"1.4e+08"	C		
"386.9614"	"386.961963"	"2h"	"6.e+05"	C		
"387.21361"	"387.213701"	"11"	"1.5e+07"	C		
"387.52641"	"387.526405"	"78"	"8.2e+06"	B		
"388.03323"	"388.033288"	"15"	"2.32e+07"	B		
"388.314"	"388.314212"	"0h"	""			
"389.14011"	"389.140123"	"14"	"4.3e+06"	B		
"389.19787"	"389.197869"	"50"	"6.3e+06"	C		
"389.52506"	"389.524947"	"5"	""			
"390.06251"	"390.062636"	"8"	"7.2e+06"	B		
"390.695"	"390.693849"	"0bl?"	""			
"391.15759"	"391.157587"	"6"	"7.7e+06"	C+		
"391.47674"	"391.476695"	"25"	"3.7e+06"	B		
"391.5516"	"391.55287"	"1bl"	""			
"391.77669"	"391.776691"	"5"	"1.e+05"	C		
"392.2359"	"392.235796"	"2"	"3.e+05"	C		
"392.2528"	"392.252967"	"1h"	""			
"392.3556"	"392.3555"	"1"	""			
"392.57186"	"392.571849"	"129"	"1.4e+08"	D		
"392.60451"	"392.604544"	"13"	""			
"392.86227"	"392.862282"	"191"	"2.44e+07"	B		
"393.12353"	"393.123548"	"17"	"2.0e+06"	B		
"393.25463"	"393.254638"	"91"	"9.3e+07"	C		
"393.317"	"393.318691"	"2bl"	""			
"393.5275"	"393.528178"	"1"	""			
"393.8843"	"393.884385"	"1"	""			
"394.42712"	"394.427124"	"49"	"4.1e+06"	B		
"394.60969"	"394.609692"	"204"	"1.4e+08"	D		
"395.27280"	"395.272882"	"16"	"2.08e+07"	B		
"395.83790"	"395.837988"	"7"	"3.8e+06"	B		
"396.83589"	"396.835887"	"59"	"4.8e+06"	B		
"397.44764"	"397.447629"	"50"	"2.0e+06"	D		
"397.47582"	"397.475854"	"15"	"9.e+05"	D		
"397.93554"	"397.935543"	"87"	"9.8e+07"	C		
"398.042"	"398.04335"	"0"	""			
"398.81573"	"398.815725"	"12"	"4.1e+06"	B		
"399.20531"	"399.205304"	"21"	"1.6e+06"	B		
"399.47916"	"399.479193"	"58"	"1.6e+08"	E		
"399.92518"	"399.925192"	"4"	""			
"400.11378"	"400.113759"	"3"	"6.e+05"	C		
"400.53620"	"400.53627"	"10"	""			
"400.7632"	"400.762828"	"2"	""			
"401.12084"	"401.120922"	"12"	"3.1e+06"	D		
"401.38561"	"401.385610"	"145"	"1.05e+07"	A		
"401.98434"	"401.98429"	"7"	""			
"403.13769"	"403.137797"	"6"	"7.5e+06"	B		
"403.38090"	"403.380915"	"95"	"9.8e+07"	D		
"403.4783"	"403.477769"	"1bl,G?"	""			
"403.54595"	"403.545971"	"50"	"4.4e+06"	B		
"403.88039"	"403.880380"	"18"	"1.2e+06"	B		
"404.2190"	"404.218100"	"3"	"4.e+05"	C		
"404.28934"	"404.289342"	"288"	"4.06e+07"	B		
"404.56769"	"404.567613"	"8"	"1.6e+06"	C		
"404.74803"	"404.748081"	"10"	""			
"405.1122"	"405.112055"	"5"	""			
"405.29206"	"405.292057"	"178"	"6.7e+07"	E		
"405.3540"	"405.354732"	"1"	""			
"405.7672"	"405.767530"	"1"	"2.e+04"	E		
""	"406.050290"	""	"3.2e+03"	E		
"406.51114"	"406.511110"	"3"	"1.1e+06"	C		
"407.07837"	"407.07839"	"10"	""			
"407.20043"	"407.200431"	"708"	"5.8e+07"	B		
"407.23843"	"407.238432"	"178"	""			
"407.66282"	"407.662819"	"85"	"8.e+07"	D		
"407.69432"	"407.694294"	"47"	"9.9e+07"	D		
"407.95734"	"407.957339"	"100"	"1.19e+07"	B		
"408.06359"	"408.063589"	"85"	""			
"408.07022"	"408.070213"	"40"	""			
"408.23868"	"408.238680"	"76"	"2.9e+06"	B+		
"408.3466"	"408.347624"	"1"	""			
"409.71351"	"409.713543"	"28"	""			
"409.72033"	"409.720221"	"12"	""			
"409.94554"	"409.945565"	"11"	""			
"410.38323"	"410.383222"	"158"	"1.3e+08"	D		
"410.39118"	"410.391181"	"447"	"1.2e+08"	D		
"411.28151"	"411.281487"	"513bl"	"1.1e+06"	B		
"411.4487"	"411.448850"	"2"	""			
"411.63756"	"411.637493"	"8"	""			
"412.4058"	"412.406120"	"1"	""			
"412.86399"	"412.863985"	"18"	"1.4e+06"	B		
"412.96820"	"412.968211"	"12"	""			
"413.17232"	"413.172327"	"891"	"8.5e+07"	B		
"414.4245"	"414.42441"	"5"	""			
"414.7377"	"414.738177"	"2"	"1.8e+04"	E		
"415.2909"	"415.2909"	"0.5"	""			
"415.60854"	"415.608541"	"60"	"3.9e+07"	D		
"416.251"	"416.25085"	"0"	""			
"416.89696"	"416.896778"	"6"	""			
"417.83650"	"417.836530"	"13"	"1.2e+06"	C+		
"417.92972"	"417.929704"	"50"	"1.3e+07"	D		
"418.35909"	"418.35908"	"4"	""			
"418.96507"	"418.965100"	"16"	""			
"419.98887"	"419.98890"	"9"	""			
"420.15556"	"420.155428"	"10"	""			
"420.19713"	"420.197120"	"59"	"2.1e+06"	C		
"420.34105"	"420.341075"	"18"	""			
"420.9944"	"420.994575"	"1"	"1.8e+05"	D		
"421.0950"	"421.095880"	"1"	""			
"421.4854"	"421.48618"	"2"	""			
"421.74306"	"421.743061"	"27"	""			
"421.86648"	"421.866480"	"59"	"3.6e+07"	D		
"422.26369"	"422.263701"	"76"	"6.9e+07"	D		
"422.66091"	"422.660846"	"16"	""			
"422.69874"	"422.698745"	"89"	"4.1e+07"	D		
"422.81577"	"422.815775"	"331"	"1.31e+07"	A		
"422.98688"	"422.986872"	"26"	""			
"423.72195"	"423.721956"	"269"	"1.12e+07"	B		
"424.3640"	"424.364424"	"2"	"2.e+05"	C		
