obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,tp_ref,line_ref
578.1268,0.0008,578.12718,3e-05,2,,,,L14821
578.235,0.002,578.23472,7e-05,0.5,,,,L14821
578.6561,0.0008,578.65558,5e-05,4bl,,,,L11520
578.858,0.002,578.858306,1e-05,0,,,,L14821
579.97401,7e-05,579.973981,1.4e-05,3,,,,L2634
580.046,0.002,580.04683,4e-05,1,,,,L14821
580.7596,0.0008,580.76126,0.0001,1,,,,L14821
581.27604,0.00013,581.27594,2.4e-05,9,,,,L11520
581.356,0.002,581.36054,7e-05,0.5,,,,L14821
581.6272,0.0008,581.629122,1.1e-05,2,,,,L14821
582.21291,7e-05,582.212902,1.4e-05,5,,,,L2634
582.60549,7e-05,582.605517,2.4e-05,3,,,,L2634
582.8059,0.0008,582.80745,6e-05,3,,,,L14821
583.547,0.002,583.549828,1.4e-05,0,,,,L14821
583.896,0.002,583.89753,5e-05,1,,,,L14821
584.0048,0.0008,584.00691,3e-05,1,,,,L14821
584.3781,0.0008,584.377764,1.1e-05,7,38000.0,E,T997n,L14821
584.611,0.002,584.6079,0.0003,0.5p,,,,L14821
585.274,0.002,585.277402,2.1e-05,0,,,,L14821
585.31,0.002,585.310884,1.4e-05,2,,,,L14821
585.42728,7e-05,585.426667,1.4e-05,4,,,,L2634
586.6598,0.0008,586.6617,4e-05,2,,,,L14821
587.0443,0.0008,587.04528,3e-05,4,,,,L14821
588.454,0.002,588.453611,1.4e-05,0.5,,,,L14821
588.6088,0.0008,588.60975,3e-05,3,,,,L14821
589.416,0.002,589.41748,7e-05,0h*,,,,L14821
589.416,0.002,589.42059,7e-05,0h*,,,,L14821
590.178,0.002,590.18008,7e-05,0,,,,L14821
590.178,0.002,590.18012,7e-05,0,,,,L14821
590.4291,0.002,590.43078,4e-05,2p?,,,,L14821
590.8674,0.0008,590.867599,1.4e-05,0.5,,,,L14821
591.549,0.002,591.54796,7e-05,0,,,,L14821
592.308,0.002,592.30988,7e-05,0*,,,,L14821
592.308,0.002,592.30991,7e-05,0*,,,,L14821
592.677,0.002,592.674589,1.8e-05,0.5,,,,L14821
593.5792,0.0008,593.5798,5e-05,2,,,,L14821
593.6309,0.0008,593.6301,0.0011,1,,,,L14821
593.664,0.002,593.66402,1.4e-05,1,,,,L14821
594.1825,0.0008,594.18214,5e-05,4,,,,L14821
595.0905,0.0008,595.090327,1.1e-05,6,70000.0,E,T926,L14821
595.38303,7e-05,595.3831,3e-05,5,,,,L2634
596.137,0.002,596.138698,1.5e-05,0,,,,L14821
596.2744,0.0008,596.275754,1.5e-05,0.5,,,,L14821
596.5031,0.0008,596.50404,5e-05,3,,,,L14821
597.3314,0.0008,597.3318,5e-05,2,,,,L14821
597.59622,7e-05,597.5953,8e-05,5,,,,L2634
597.7995,0.0008,597.80013,3e-05,4,,,,L14821
598.4454,0.0008,598.44534,3e-05,3,,,,L14821
598.5912,0.0014,598.59137,5e-05,1,,,,L11520
598.8288,0.0008,598.83075,5e-05,3p?*,,,,L14821
598.8288,0.0008,598.83153,6e-05,3p?*,,,,L14821
598.9339,0.0008,598.93377,4e-05,8,,,,L14821
599.146,0.002,599.144912,1.1e-05,0.5,,,,L14821
