obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"380.16583"	"380.16582"	"50"	""			
"381.58"	"381.5815"	"1"	""			
"382.040"	"382.037"	"50"	""			
"386.085"	"386.0963"	"30"	""			
"389.386"	"389.363"	"1"	""		E2	
"390.1868"	"390.1870"	"30"	""			
"390.3638"	"390.3636"	"0.5"	""			
"390.6371"	"390.6383"	"40"	""			
"398.392"	"398.396"	"2"	""			
"402.595"	"402.601"	"4"	""			
"404.6565"	"404.65643"	"12000"	"2.07e+07"	B		
"407.7837"	"407.78370"	"1000"	"4.0e+06"	B		
"410.8054"	"410.8054"	"70"	"2.2e+06"	D		
"414.00"	"414.0059"	"0"	""			
"431.405"	"431.4186"	"1"	""		E2	
"433.92232"	"433.92228"	"50"	"2.9e+06"	C+		
"434.3634"	"434.3632"	"1.3"	""			
"434.74945"	"434.74951"	"150"	"8.4e+06"	B		
"435.8335"	"435.83363"	"12000"	"5.6e+07"	B		
"467.0831"	"467.0831"	""	""			
"467.1717"	"467.1717"	""	""			
"467.2918"	"467.2920"	"*"	""			
"467.2918"	"467.2920"	"*"	""			
"468.3819"	"468.3821"	""	""			
"468.4926"	"468.4925"	""	""			
"468.6386"	"468.6386"	"*"	""			
"468.6386"	"468.6386"	"*"	""			
"469.9797"	"469.9796"	""	""			
"470.1171"	"470.1171"	""	""			
"470.3011"	"470.3011"	""	""			
"470.3051"	"470.3051"	""	""			
"471.9742"	"471.9744"	""	""			
"472.1512"	"472.1511"	""	""			
"472.3814"	"472.3814"	""	""			
"472.3919"	"472.3917"	""	""			
"474.5148"	"474.5146"	""	""			
"474.7458"	"474.7458"	""	""			
"475.0393"	"475.0393"	""	""			
"475.0560"	"475.0560"	""	""			
"477.8118"	"477.8117"	""	""			
"478.1274"	"478.1273"	""	""			
"478.5153"	"478.5155"	""	""			
"478.5354"	"478.5354"	""	""			
"482.2204"	"482.2206"	""	""			
"482.6594"	"482.6594"	""	""			
"483.1878"	"483.1878"	""	""			
"483.2238"	"483.2238"	""	""			
"488.2999"	"488.3001"	"6"	""			
"488.9489"	"488.9489"	""	""			
"489.6914"	"489.6909"	""	""			
"489.7482"	"489.7482"	""	""			
"491.6068"	"491.6045"	"20"	"5.8e+06"	D+		
"496.01"	"496.017"	"100"	""			
"497.0370"	"497.0374"	"6"	""			
"498.0640"	"498.0639"	"6"	""			
"499.1601"	"499.1604"	""	""			
"499.2593"	"499.2596"	""	""			
"502.56"	"502.56307"	"3"	"2.67e+04"	B		
"504.58"	"504.569"	"2"	""			
"510.2705"	"510.2704"	"30"	""			
"512.0637"	"512.0637"	"70"	""			
"513.7940"	"513.7942"	"30"	""			
"513.9926"	"513.9928"	""	""			
"521.89"	"521.9440"	"2"	""			
"529.0740"	"529.0738"	"30"	""			
"531.6776"	"531.6776"	"6"	""			
"535.4034"	"535.4036"	"130"	""			
"536.55"	"536.538"	"12"	""			
"538.4626"	"538.4627"	"50"	""			
"538.8810"	"538.8810"	""	""			
"539.3468"	"539.3465"	""	""			
"540.48"	"540.483"	"3"	""			
"546.0750"	"546.07498"	"6000"	"4.9e+07"	B		
"554.9634"	"554.9636"	"50"	""			
"567.581"	"567.588"	"600"	""			
"576.9610"	"576.96095"	"1000"	"2.36e+07"	B		
