obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"585.1758"	"585.1766"	"1300c"	"8.0e+06"			
"587.0899"	""	"80p"	""			
"587.1279"	"587.12779"	"1200000"	"1.0e+08"			
"587.1572"	""	"50u"	""			
"587.1921"	""	"600h"	""			
"588.8939"	"588.8947"	"2000000c"	"3.8e+07"			
"591.8496"	"591.8496"	"10w"	"3.3e+06"			
"594.7680"	"594.7682"	"150"	"4.5e+06"			
"596.1509"	"596.1520"	"1500c"	"1.8e+06"			
"597.8916"	""	"180h"	""			
"603.2653"	""	"60h"	""			
"604.1045"	"604.1047"	"180h"	"4.5e+06"			
"608.9794"	"608.9800"	"8000c"	"2.7e+06"			
"610.0096"	""	"100"	""			
"610.0332"	"610.0342"	"5000c"	"1.8e+07"			
"614.1773"	""	"150"	""			
"614.6435"	""	"1500000"	""			
"614.6845"	""	"350w"	""			
"614.9475"	"614.94726"	"25000000c"	"6.2e+07"			
"615.2002"	""	"120"	""			
"615.7138"	""	"120"	""			
"615.8303"	""	"1000"	""			
"619.4289"	""	"70h"	""			
"619.6409"	"619.6421"	"250c"	"3.0e+06"			
"624.2222"	""	"65000"	""			
"629.1228"	"629.1230"	"65000"	"2.6e+07"			
"636.0199"	"636.0199"	"150h"	"4.8e+06"			
"639.4890"	"639.4888"	"55000"	"1.8e+07"			
