obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"388.2698"	"388.271148"	"20f"	""		UT	
"388.7134"	"388.714352"	"10f"	""		UT	
"388.9427"	"388.943335"	"50f"	""		UT	
"389.9723"	"389.974242"	"20f"	""		UT	
"394.3540"	"394.3545"	"20"	""			
"398.4065"	"398.4050"	"20"	""			
"398.4253"	"398.4252"	"70"	""			
"399.5298"	"399.5297"	"10"	""			
"399.5721"	"399.5705"	"10"	""			
"399.8594"	"399.8602"	"10"	""			
"399.9263"	"399.9277"	"10"	""			
"401.3752"	"401.3753"	"10"	""			
"401.3995"	"401.397"	"20"	""			
"402.0015"	"402.0043"	"20"	""			
"403.7262"	"403.7261"	"50"	""			
"403.7615"	"403.7600"	"150"	""			
"403.7696"	"403.7697"	"50"	""			
"404.2327"	"404.2333"	"100"	""			
"404.2642"	"404.2647"	"500"	""			
"404.5662"	"404.5684"	"20"	""			
"406.4036"	"406.4023"	"500"	""			
"406.4829"	"406.4828"	"150"	""			
"406.8835"	"406.8832"	"300"	""			
"406.9243"	"406.9228"	"300"	""			
"406.9389"	"406.9388"	"50"	""			
"407.9359"	"407.9347"	"20"	""			
"408.0148"	"408.0143"	"500"	""			
"411.1882"	"411.1859"	"10"	""			
"411.2100"	"411.2101"	"150"	""			
"411.2694"	"411.2688"	"200"	""			
"411.2865"	"411.2865"	"100"	""			
"412.6941"	"412.69650"	"20"	""			
"412.8072"	"412.80756"	"300"	""			
"413.0512"	"413.05240"	"200"	""			
"413.10613"	"413.10605"	"700"	""			
"416.48079"	"416.48067"	"500"	""			
"416.6091"	"416.60990"	"300"	""			
"417.3966"	"417.3952"	"20"	""			
"417.43667"	"417.43665"	"700"	""			
"417.52197"	"417.52194"	"600"	""			
"417.5488"	"417.5489"	"400"	""			
"419.6415"	"419.64197"	"150"	""			
"419.81018"	"419.80984"	"700"	""			
"420.3270"	"420.3272"	"20*"	""			
"420.3270"	"420.3272"	"20*"	""			
"420.3270"	"420.3267"	"20*"	""			
"423.2323"	"423.2324"	"10"	""			
"424.9538"	"424.9547"	"20"	""			
"425.2418"	"425.2419"	"20"	""			
"425.2775"	"425.2775"	"20"	""			
"425.6498"	"425.6491"	"20*"	""			
"425.6498"	"425.6491"	"20*"	""			
"425.9739"	"425.9726"	"10"	""			
"426.2479"	"426.2478"	"20"	""			
"426.7286"	"426.72870"	"10"	""			
"426.7724"	"426.77197"	"50"	""			
"426.80086"	"426.80050"	"700"	""			
"426.97223"	"426.97221"	"700"	""			
"427.02252"	"427.02248"	"500"	""			
"427.46617"	"427.46600"	"500"	""			
"427.5167"	"427.51579"	"10"	""			
"427.55590"	"427.55572"	"700"	""			
"427.8850"	"427.8839"	"50"	""			
"427.9279"	"427.9279"	"150"	""			
"428.3242"	"428.3241"	"100"	""			
"428.8541"	"428.8527"	"50"	""			
"428.9799"	"428.9786"	"20"	""			
"429.1976"	"429.1992"	"20*"	""			
"429.1976"	"429.1992"	"20*"	""			
"429.1976"	"429.1987"	"20*"	""			
"430.3248"	"430.32535"	"300"	""			
"430.3695"	"430.3718"	"10"	""			
"430.3955"	"430.3963"	"50"	""			
"430.62508"	"430.62518"	"700"	""			
"431.0130"	"431.0131"	"20"	""			
"431.4110"	"431.4114"	"10"	""			
"431.4695"	"431.4695"	"300"	""			
"431.6008"	"431.60048"	"150"	""			
"431.8834"	"431.88005"	"50"	""			
"431.9511"	"431.9506"	"10"	""			
"432.1492"	"432.1493"	"20"	""			
"432.7265"	"432.7266"	"100"	""			
"433.41267"	"433.41253"	"700"	""			
"433.62268"	"433.62251"	"500"	""			
"433.8200"	"433.8200"	"20"	""			
"434.0256"	"434.0252"	"20"	""			
"434.0420"	"434.0418"	"20"	""			
"434.5479"	"434.5475"	"20*"	""			
"434.5479"	"434.5465"	"20*"	""			
"434.5762"	"434.5749"	"10"	""			
"434.6036"	"434.6013"	"150"	""			
"435.7298"	"435.7289"	"20"	""			
"435.7918"	"435.7901"	"50"	""			
"435.8816"	"435.8809"	"20"	""			
"436.2690"	"436.2693"	"300"	""			
"436.3228"	"436.3230"	"20"	""			
"436.3524"	"436.35240"	"700"	""			
"436.5705"	"436.5706"	"10"	""			
"437.1796"	"437.1810"	"20"	""			
"437.2157"	"437.21510"	"300"	""			
"437.4997"	"437.5025"	"20*"	""			
"437.4997"	"437.50048"	"20*"	""			
"437.7754"	"437.7744"	"20"	""			
"437.7754"	"437.7744"	"20*"	""			
"438.1220"	"438.12199"	"300"	""			
"439.4370"	"439.4370"	"150*"	""			
"439.4370"	"439.4370"	"150*"	""			
"439.4370"	"439.4364"	"150*"	""			
"439.4773"	"439.4776"	"150"	""			
"439.5008"	"439.5025"	"10"	""			
"439.5306"	"439.5301"	"10"	""			
"439.5556"	"439.55560"	"500"	""			
"439.5969"	"439.5972"	"10"	""			
"439.7175"	"439.7190"	"10"	""			
"439.8136"	"439.8133"	"50"	""			
"440.2374"	"440.2380"	"20"	""			
"440.2580"	"440.2554"	"10"	""			
"440.2985"	"440.2996"	"10"	""			
"440.5582"	"440.5571"	"20"	""			
"440.9620"	"440.96009"	"200"	""			
"441.2285"	"441.22878"	"200"	""			
"441.3561"	"441.35572"	"150"	""			
"441.5141"	"441.5134"	"50"	""			
"441.6817"	"441.68152"	"500"	""			
"442.0558"	"442.05903"	"10"	""			
"442.15553"	"442.15541"	"500"	""			
"442.25205"	"442.25191"	"3000"	""			
"442.48065"	"442.48052"	"3000"	""			
"442.5400"	"442.54000"	"1500"	""			
"442.7755"	"442.7716"	"300"	""			
"442.7981"	"442.7975"	"150"	""			
"442.9410"	"442.9405"	"10"	""			
"443.25166"	"443.25142"	"200"	""			
"443.3398"	"443.33980"	"100"	""			
"443.37239"	"443.37238"	"700"	""			
"443.5094"	"443.5088"	"50"	""			
"444.0363"	"444.0367"	"150*"	""			
"444.0363"	"444.0357"	"150*"	""			
"444.0812"	"444.0815"	"20"	""			
"444.0890"	"444.0929"	"10"	""			
"444.4978"	"444.4973"	"300"	""			
"444.5671"	"444.5697"	"10"	""			
"444.6538"	"444.6531"	"10"	""			
"445.2983"	"445.2988"	"150"	""			
"445.3253"	"445.3244"	"50"	""			
"445.3324"	"445.3343"	"20"	""			
"445.3528"	"445.3528"	"10"	""			
"445.4285"	"445.4292"	"50"	""			
"445.5564"	"445.55700"	"150"	""			
"445.6380"	"445.6398"	"10"	""			
"446.0175"	"446.01758"	"1000"	""			
"446.2856"	"446.2843"	"20"	""			
"446.56544"	"446.56477"	"500"	""			
"446.6045"	"446.6038"	"50"	""			
"446.6503"	"446.65130"	"20"	""			
"446.68120"	"446.68120"	"700"	""			
"446.7491"	"446.74894"	"10"	""			
"447.0971"	"447.099"	"50*"	""			
"447.0971"	"447.09682"	"50*"	""			
"447.2246"	"447.22716"	"10*"	""			
"447.2246"	"447.2216"	"10*"	""			
"447.5131"	"447.51455"	"50"	""			
"447.5656"	"447.56542"	"1000"	""			
"448.0823"	"448.0825"	"150"	""			
"448.3190"	"448.31961"	"1500"	""			
"448.80926"	"448.80933"	"3000"	""			
"449.17716"	"449.17702"	"800"	""			
"449.1838"	"449.1838"	"500"	""			
"449.2132"	"449.2118"	"50"	""			
"449.2412"	"449.2407"	"300"	""			
"449.2689"	"449.26729"	"150"	""			
"449.3108"	"449.3108"	"50"	""			
"449.3699"	"449.36936"	"500"	""			
"449.9000"	"449.8984"	"20"	""			
"449.9843"	"449.9839"	"50*"	""			
"449.9843"	"449.9820"	"50*"	""			
"450.0182"	"450.01819"	"500"	""			
"451.0170"	"451.01537"	"150"	""			
"451.1509"	"451.148"	"200*"	""			
"451.1509"	"451.14800"	"200*"	""			
"451.4891"	"451.48843"	"700"	""			
"451.5022"	"451.50454"	"20"	""			
"451.5411"	"451.54151"	"300"	""			
"451.6936"	"451.69342"	"500"	""			
"451.7736"	"451.77360"	"1000"	""			
"452.5764"	"452.57656"	"700"	""			
"452.6177"	"452.6167"	"500"	""			
"452.6685"	"452.6714"	"150*"	""			
"452.6685"	"452.66543"	"150*"	""			
"452.7725"	"452.7712"	"150"	""			
"452.7973"	"452.7975"	"10"	""			
"452.9476"	"452.9447"	"300"	""			
"453.2395"	"453.2399"	"10"	""			
"453.63003"	"453.62996"	"1500"	"4.29e+05"	C		
"453.76768"	"453.76762"	"3000"	"4.77e+05"	C+		
"453.77545"	"453.77551"	"10000"	"8.16e+05"	C+		
"453.83026"	"453.83007"	"3000"	""			
"453.9168"	"453.91650"	"500"	""			
"454.03801"	"454.03790"	"500"	""			
"454.4502"	"454.4492"	"500"	""			
"454.5729"	"454.5733"	"10"	""			
"454.7218"	"454.71962"	"100"	""			
"454.7728"	"454.77082"	"150"	""			
"455.0640"	"455.0626"	"10"	""			
"455.2598"	"455.25983"	"300"	""			
"455.4415"	"455.4420"	"100"	""			
"455.4561"	"455.45741"	"50"	""			
"455.4824"	"455.4819"	"400"	""			
"455.5392"	"455.53870"	"300"	""			
"455.6698"	"455.6697"	"20"	""			
"456.2449"	"456.2458"	"10"	""			
"456.5888"	"456.58886"	"600"	""			
"456.6830"	"456.68264"	"400"	""			
"456.7139"	"456.71389"	"150"	""			
"456.7845"	"456.78472"	"100"	""			
"457.30609"	"457.30604"	"50"	""			
"457.3557"	"457.35573"	"500"	""			
"457.3898"	"457.38850"	"300"	""			
"457.50620"	"457.50614"	"3000"	""			
"457.5858"	"457.58571"	"200"	""			
"458.2035"	"458.20397"	"1500"	""			
"458.2105"	"458.21009"	"150"	""			
"458.24521"	"458.24505"	"1500"	""			
"458.2556"	"458.25596"	"150"	""			
"458.2980"	"458.2995"	"50"	""			
"458.5876"	"458.5869"	"100"	""			
"458.6145"	"458.6141"	"20"	""			
"459.3243"	"459.32342"	"500"	""			
"459.5249"	"459.52455"	"500"	""			
"460.4095"	"460.4095"	"150"	""			
"460.4680"	"460.4693"	"10"	""			
"460.4938"	"460.49404"	"50"	""			
"460.9365"	"460.93719"	"300"	""			
"460.9910"	"460.99116"	"1500"	""			
"461.4391"	"461.43908"	"1000"	""			
"461.6911"	"461.6919"	"50"	""			
"461.7837"	"461.78385"	"700"	""			
"462.7799"	"462.78067"	"20"	""			
"462.83113"	"462.83109"	"1500"	""			
