obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"611.088"	"611.08106"	"100"	""			
"611.272"	"611.26489"	"160"	""			
"613.277"	"613.27179"	"100"	""			
"616.609"	"616.60663"	"80"	""			
"622.448"	"622.44127"	"160"	""			
"623.9032"	"623.90255"	"120"	""			
"625.0925"	"625.09244"	"120"	""			
"625.2905"	"625.28985"	"80"	""			
"625.869"	"625.86508"	"180bl"	""			
"627.0131"	"627.01321"	"80"	""			
"627.2420"	"627.24217"	"140"	""			
"629.7840"	"629.78335"	"80"	""			
""	"630.42560"	"m"	""			
"630.6113"	"630.61113"	"100"	""			
"630.766"	"630.76349"	"180bl"	""			
"632.1116"	"632.11150"	"60"	""			
"634.5653"	"634.56438"	"60"	""			
