obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"380.019783"	"380.019779"	"900"	""			
"380.07451"	"380.074548"	"5"	""			
"380.144306"	"380.144311"	"2200"	""			
"380.157136"	"380.157195"	"1300"	""			
"380.24207"	"380.242059"	"400"	""			
"380.25891"	"380.258925"	"8"	""			
"380.27233"	"380.272284"	"78"	""			
"380.286443"	"380.286418"	"600"	""			
"380.307488"	"380.307494"	"24000"	""			
"380.36099"	"380.360997"	"110"	""			
"380.38390"	"380.383934"	"520"	""			
"380.398388"	"380.398396"	"1700"	""			
"380.41275"	"380.412751"	"490"	""			
"380.46985"	"380.469835"	"300"	""			
"380.52270"	"380.522702"	"89"	""			
"380.531414"	"380.531393"	"530"	""			
"380.58644"	"380.586459"	"170"	""			
"380.61529"	"380.615289"	"130"	""			
"380.63170"	"380.631861"	"270"	""			
"380.72724"	"380.727266"	"470"	""			
"380.77006"	"380.770053"	"130"	""			
"380.84300"	"380.842690"	"40"	""			
"380.861476"	"380.861476"	"570"	""			
"381.09034"	"381.090446"	"51"	""			
"381.099515"	"381.099517"	"2300"	""			
"381.23972"	"381.239684"	"420"	""			
"381.26670"	"381.266743"	"90"	""			
"381.28271"	"381.282657"	"40"	""			
"381.29091"	"381.290883"	"49"	""			
"381.33638"	"381.336362"	"77"	""			
"381.381495"	"381.381505"	"1500"	""			
"381.556582"	"381.556585"	"960"	""			
"381.65101"	"381.650965"	"40"	""			
"381.71168"	"381.711695"	"150"	""			
"381.74982"	"381.749781"	"150"	""			
"381.868535"	"381.868531"	"2200"	""			
"381.91125"	"381.911262"	"180"	""			
"381.91893"	"381.919001"	"59"	""			
"381.99032"	"381.990327"	"140"	""			
"382.03271"	"382.032771"	"530"	""			
"382.04740"	"382.047398"	"120"	""			
"382.079249"	"382.079229"	"2600"	""			
"382.11190"	"382.111735"	"39"	""			
"382.23302"	"382.233038"	"150"	""			
"382.27099"	"382.270983"	"190"	""			
"382.28618"	"382.286055"	"380"	""			
"382.306749"	"382.306749"	"1600"	""			
"382.34576"	"382.345762"	"390"	""			
"382.45317"	"382.453166"	"160"	""			
"382.45532"	"382.455449"	"98"	""			
"382.49270"	"382.492524"	"52"	""			
"382.513295"	"382.513285"	"2400"	""			
"382.636861"	"382.636883"	"1200"	""			
"382.75018"	"382.750181"	"76"	""			
"382.838451"	"382.838452"	"14000"	""			
"382.90398"	"382.903931"	"110"	""			
"382.91808"	"382.918082"	"160"	""			
"382.92802"	"382.928023"	"95"	""			
"382.93930"	"382.939105"	"130"	""			
"383.006043"	"383.006042"	"1100"	""			
"383.01981"	"383.019669"	"130"	""			
"383.077347"	"383.0773421"	"3500"	""			
"383.163968"	"383.163971"	"950"	""			
"383.19621"	"383.196287"	"250"	""			
"383.23230"	"383.232434"	"190"	""			
"383.25830"	"383.258286"	"95"	""			
"383.44881"	"383.448863"	"250"	""			
"383.48901"	"383.489026"	"64"	""			
"383.50771"	"383.507658"	"250"	""			
"383.53482"	"383.534842"	"220"	""			
"383.54139"	"383.541384"	"410"	""			
"383.57110"	"383.571093"	"590"	""			
"383.59591"	"383.595910"	"170"	""			
"383.653919"	"383.653908"	"2000"	""			
"383.658495"	"383.658501"	"5200"	""			
"383.672096"	"383.672074"	"670"	""			
"383.68415"	"383.684187"	"68"	""			
"383.70239"	"383.702377"	"100"	""			
"383.72935"	"383.729388"	"110"	""			
"383.73428"	"383.734291"	"120"	""			
"383.787508"	"383.787497"	"8600"	""			
"383.965636"	"383.965659"	"1200"	""			
"383.969499"	"383.969505"	"16000"	""			
"383.98980"	"383.989965"	"130"	""			
"384.04298"	"384.042943"	"340"	""			
"384.06144"	"384.061382"	"100"	""			
"384.080029"	"384.080026"	"1800"	""			
"384.09197"	"384.091940"	"120"	""			
"384.25500"	"384.255030"	"180"	""			
"384.27432"	"384.274313"	"230"	""			
"384.28035"	"384.280417"	"180"	""			
"384.289662"	"384.289663"	"1500"	""			
"384.30203"	"384.302017"	"380"	""			
"384.35085"	"384.350898"	"160"	""			
"384.49328"	"384.493303"	"280"	""			
"384.50922"	"384.509257"	"290"	""			
"384.53067"	"384.530275"	"90"	""			
"384.60241"	"384.602374"	"38"	""			
"384.66265"	"384.662628"	"300"	""			
"384.688747"	"384.688757"	"1500"	""			
"384.76197"	"384.761949"	"270"	""			
"384.86291"	"384.862948"	"71"	""			
"384.90582"	"384.905776"	"84"	""			
"384.99112"	"384.991103"	"350"	""			
"385.00581"	"385.005707"	"50"	""			
"385.02827"	"385.02822"	"230*"	""			
"385.10745"	"385.107477"	"260"	""			
"385.11582"	"385.115836"	"480"	""			
"385.213511"	"385.213515"	"3500"	""			
"385.37873"	"385.378736"	"120"	""			
"385.38275"	"385.382739"	"250"	""			
"385.39859"	"385.398660"	"72"	""			
"385.41285"	"385.412820"	"80"	""			
"385.50652"	"385.506538"	"110"	""			
"385.62234"	"385.622385"	"110"	""			
"385.635424"	"385.635436"	"810"	""			
"385.65174"	"385.651718"	"350"	""			
"385.66240"	"385.662366"	"500"	""			
"385.67486"	"385.675466"	"87"	""			
"385.83584"	"385.835870"	"190"	""			
"385.89295"	"385.893031"	"110"	""			
"385.92891"	"385.928915"	"48"	""			
"386.10511"	"386.105154"	"490"	""			
"386.13523"	"386.135205"	"190"	""			
"386.15021"	"386.150210"	"320"	""			
"386.15759"	"386.157574"	"330"	""			
"386.242162"	"386.242098"	"830"	""			
"386.25954"	"386.259509"	"73"	""			
"386.47644"	"386.476550"	"120"	""			
"386.48380"	"386.483754"	"220"	""			
"386.49692"	"386.496944"	"130"	""			
"386.63751"	"386.637697"	"240"	""			
"386.67726"	"386.677238"	"71"	""			
"386.690900"	"386.690908"	"790"	""			
"386.70674"	"386.706836"	"82"	""			
"386.79752"	"386.797510"	"92"	""			
"386.80401"	"386.804125"	"250"	""			
"386.82546"	"386.825476"	"260"	""			
"386.966317"	"386.966317"	"2400"	""			
"387.07631"	"387.076250"	"180"	""			
"387.08910"	"387.089190"	"180"	""			
"387.25048"	"387.250439"	"220"	""			
"387.26706"	"387.267099"	"420"	""			
"387.28620"	"387.286176"	"83"	""			
"387.314774"	"387.3147651"	"1800"	""			
"387.34199"	"387.342060"	"340"	""			
"387.347386"	"387.347387"	"4000"	""			
"387.382219"	"387.382217"	"12000"	""			
"387.424360"	"387.424367"	"4400"	""			
"387.486176"	"387.486177"	"10000"	""			
"387.497806"	"387.497816"	"620"	""			
"387.51571"	"387.515805"	"730"	""			
"387.537295"	"387.537284"	"4100"	""			
"387.564598"	"387.564599"	"1000"	""			
"387.59659"	"387.596116"	"100"	""			
"387.746278"	"387.746270"	"640"	""			
"387.75563"	"387.755656"	"140"	""			
"387.76088"	"387.760887"	"370"	""			
"387.81601"	"387.816022"	"71"	""			
"387.85734"	"387.857668"	"680"	""			
"387.866179"	"387.866179"	"750"	""			
"387.92686"	"387.926856"	"600"	""			
"387.94452"	"387.944516"	"240"	""			
"387.964392"	"387.964397"	"4000"	""			
"388.01947"	"388.019457"	"430"	""			
"388.03231"	"388.032240"	"250"	""			
"388.04040"	"388.040506"	"120"	""			
"388.23247"	"388.232417"	"130"	""			
"388.35361"	"388.353610"	"71"	""			
"388.37682"	"388.376814"	"99"	""			
"388.49850"	"388.498621"	"62"	""			
"388.50673"	"388.506779"	"220*"	""			
"388.52253"	"388.522477"	"180"	""			
"388.54037"	"388.540445"	"110"	""			
"388.60640"	"388.606446"	"190"	""			
"388.62562"	"388.625615"	"330"	""			
"388.691575"	"388.691581"	"5600"	""			
"388.701929"	"388.701939"	"1300"	""			
"388.72201"	"388.722292"	"99"	""			
"388.94321"	"388.9433611"	"37"	""			
"388.95421"	"388.954227"	"180"	""			
"388.96088"	"388.960918"	"140"	""			
"388.97151"	"388.971565"	"250"	""			
"388.99058"	"388.990566"	"160"	""			
"389.12043"	"389.120464"	"180"	""			
"389.15200"	"389.152066"	"160"	""			
"389.16571"	"389.165568"	"180"	""			
"389.17258"	"389.172584"	"460"	""			
"389.27090"	"389.270868"	"130"	""			
"389.33429"	"389.334327"	"190"	""			
"389.36518"	"389.365172"	"470"	""			
"389.38146"	"389.381728"	"82"	""			
"389.46010"	"389.459886"	"20"	""			
"389.541902"	"389.541897"	"7000"	""			
"389.61669"	"389.616771"	"79"	""			
"389.76122"	"389.761322"	"62"	""			
"389.77774"	"389.777846"	"100"	""			
"389.81846"	"389.818604"	"97"	""			
"389.843728"	"389.843729"	"1900"	""			
"389.85100"	"389.850965"	"470"	""			
"389.87950"	"389.879421"	"760"	""			
"390.04640"	"390.046171"	"100"	""			
"390.057657"	"390.057656"	"1200"	""			
"390.166192"	"390.166188"	"860"	""			
"390.19571"	"390.195673"	"50"	""			
"390.21707"	"390.217067"	"260"	""			
"390.27885"	"390.278796"	"110"	""			
"390.310221"	"390.310219"	"3000"	""			
"390.33150"	"390.331584"	"490"	""			
"390.34811"	"390.348141"	"290"	""			
"390.58064"	"390.581001"	"32"	""			
"390.71601"	"390.716003"	"210"	""			
"390.73521"	"390.735404"	"4"	""			
"390.75430"	"390.754298"	"230"	""			
"390.80141"	"390.801264"	"180"	""			
"390.87489"	"390.874923"	"400"	""			
"390.89795"	"390.897915"	"360"	""			
"390.91389"	"390.913876"	"600"	""			
"390.99911"	"390.999123"	"240"	""			
"391.02510"	"391.024845"	"120"	""			
"391.05209"	"391.052094"	"130"	""			
"391.06220"	"391.062193"	"120"	""			
"391.07733"	"391.077345"	"280"	""			
"391.09775"	"391.097703"	"260"	""			
"391.13641"	"391.136307"	"36"	""			
"391.15215"	"391.152268"	"76"	""			
"391.190881"	"391.190883"	"2100"	""			
"391.195152"	"391.195208"	"890"	""			
"391.22102"	"391.221067"	"79"	""			
"391.24907"	"391.248444"	"86"	""			
"391.27380"	"391.273822"	"180"	""			
"391.30817"	"391.308184"	"500"	""			
"391.33020"	"391.330204"	"180"	""			
"391.36448"	"391.364456"	"210"	""			
"391.38649"	"391.386467"	"170"	""			
"391.41631"	"391.415888"	"490"	""			
"391.42907"	"391.429041"	"87"	""			
"391.51720"	"391.516984"	"12"	""			
"391.52952"	"391.529495"	"200"	""			
"391.58487"	"391.584839"	"260"	""			
"391.641730"	"391.641743"	"4200"	""			
"391.65978"	"391.659743"	"170"	""			
"391.726912"	"391.726938"	"1100"	""			
"391.806992"	"391.807013"	"660"	""			
"391.84971"	"391.849654"	"660"	""			
"391.893332"	"391.893402"	"770"	""			
"391.902324"	"391.902329"	"4600"	""			
"391.92752"	"391.927546"	"260"	""			
"391.93267"	"391.932554"	"82"	""			
"392.00574"	"392.005797"	"230"	""			
"392.05499"	"392.054959"	"120"	""			
"392.14531"	"392.145376"	"160"	""			
"392.17311"	"392.173092"	"33"	""			
"392.17797"	"392.177957"	"99"	""			
"392.23940"	"392.239464"	"100"	""			
"392.35101"	"392.350995"	"220"	""			
"392.379937"	"392.379940"	"2500"	""			
"392.44040"	"392.440084"	"11000"	""			
"392.509321"	"392.509325"	"6800"	""			
"392.521892"	"392.521899"	"1400"	""			
"392.559550"	"392.559555"	"660"	""			
"392.68627"	"392.686368"	"180"	""			
"392.78061"	"392.780585"	"320"	""			
"392.83061"	"392.830756"	"88"	""			
"392.88644"	"392.886448"	"540"	""			
"392.89666"	"392.896779"	"190"	""			
"392.929021"	"392.9290191"	"770"	""			
"393.02505"	"393.025116"	"95"	""			
"393.06575"	"393.065741"	"66"	""			
"393.10849"	"393.108474"	"79"	""			
"393.15074"	"393.150807"	"37"	""			
"393.291102"	"393.291103"	"9200"	""			
"393.30352"	"393.303452"	"230"	""			
"393.32373"	"393.323756"	"480"	""			
"393.40599"	"393.405996"	"69"	""			
"393.44650"	"393.446537"	"33"	""			
"393.72883"	"393.728750"	"71"	""			
"393.73660"	"393.736477"	"46"	""			
"393.78600"	"393.786060"	"79"	""			
"393.80953"	"393.809330"	"100"	""			
"393.81522"	"393.815224"	"200"	""			
"393.861419"	"393.861426"	"720"	""			
"393.89560"	"393.895806"	"170"	""			
"393.93186"	"393.931850"	"150"	""			
"393.95381"	"393.953838"	"91"	""			
"394.04220"	"394.042694"	"11"	""			
"394.07068"	"394.070682"	"120"	""			
"394.08386"	"394.083825"	"180"	""			
"394.11372"	"394.113775"	"74"	""			
"394.12323"	"394.123219"	"76"	""			
"394.16820"	"394.168245"	"22"	""			
"394.19621"	"394.195917"	"21"	""			
"394.207305"	"394.207284"	"630"	""			
"394.23579"	"394.235766"	"190"	""			
"394.26281"	"394.262705"	"220"	""			
"394.26693"	"394.266920"	"91"	""			
"394.29079"	"394.290788"	"340"	""			
"394.34597"	"394.345964"	"400"	""			
"394.360530"	"394.360537"	"650"	""			
"394.425326"	"394.425329"	"660"	""			
"394.52072"	"394.520727"	"120"	""			
"394.639194"	"394.639186"	"1900"	""			
"394.64830"	"394.648238"	"570*"	""			
"394.733064"	"394.733065"	"2000"	""			
"394.803029"	"394.8030341"	"15000"	""			
"394.813431"	"394.813446"	"1100"	""			
"395.039505"	"395.039509"	"42000"	""			
"395.07071"	"395.070997"	"210"	""			
"395.08048"	"395.080468"	"520"	""			
"395.24210"	"395.242069"	"53"	""			
"395.276066"	"395.276062"	"2100"	""			
"395.29671"	"395.296719"	"160"	""			
"395.30560"	"395.305662"	"8"	""			
"395.40678"	"395.406870"	"150"	""			
"395.41307"	"395.413067"	"110"	""			
"395.516969"	"395.516990"	"1200"	""			
"395.54770"	"395.547686"	"31"	""			
"395.589009"	"395.5890197"	"880"	""			
"395.60047"	"395.600488"	"390"	""			
"395.61045"	"395.610427"	"74"	""			
"395.64825"	"395.648144"	"270"	""			
"395.70591"	"395.705844"	"220"	""			
"395.77360"	"395.773395"	"84"	""			
"395.77982"	"395.779767"	"46"	""			
"395.89287"	"395.892777"	"120"	""			
"395.929982"	"395.929982"	"2900"	""			
"396.02691"	"396.026922"	"400"	""			
"396.06851"	"396.068309"	"21"	""			
"396.20987"	"396.209864"	"99"	""			
"396.21975"	"396.219625"	"230"	""			
"396.23710"	"396.236974"	"160"	""			
"396.241939"	"396.241926"	"1100"	""			
"396.24751"	"396.247591"	"220"	""			
"396.40301"	"396.402975"	"390"	""			
"396.43291"	"396.432898"	"170"	""			
"396.44550"	"396.445557"	"160"	""			
"396.54829"	"396.548231"	"73"	""			
"396.63337"	"396.633319"	"130"	""			
"396.739204"	"396.739208"	"6300"	""			
"396.76101"	"396.760871"	"450"	""			
"396.847579"	"396.847583"	"9400"	""			
"396.96639"	"396.966451"	"550"	""			
"397.11367"	"397.113613"	"130"	""			
"397.19249"	"397.192694"	"68"	""			
"397.22300"	"397.223258"	"170"	""			
"397.263939"	"397.263926"	"1600"	""			
"397.30631"	"397.306288"	"89"	""			
"397.319574"	"397.319588"	"2900"	""			
"397.33324"	"397.333278"	"670"	""			
"397.35122"	"397.351128"	"54"	""			
"397.36915"	"397.368860"	"180"	""			
"397.48290"	"397.482903"	"460"	""			
"397.50081"	"397.501396"	"11"	""			
"397.54672"	"397.546738"	"150"	""			
"397.58310"	"397.583116"	"160"	""			
"397.59225"	"397.592208"	"70"	""			
"397.59761"	"397.597743"	"45"	""			
"397.61521"	"397.615230"	"110"	""			
"397.74340"	"397.743452"	"34"	""			
"397.84380"	"397.843800"	"120"	""			
"397.94020"	"397.940164"	"170"	""			
"397.99562"	"397.995635"	"390"	""			
"398.008946"	"398.008934"	"1700"	""			
"398.05750"	"398.057553"	"33"	""			
"398.18280"	"398.182744"	"500*"	""			
"398.18280"	"398.182822"	"500*"	""			
"398.26070"	"398.260789"	"110"	""			
"398.28954"	"398.289525"	"240"	""			
"398.30101"	"398.300993"	"82"	""			
"398.37831"	"398.378525"	"22"	""			
"398.38150"	"398.381460"	"4"	""			
"398.40953"	"398.409500"	"210"	""			
"398.48794"	"398.487967"	"500"	""			
"398.53409"	"398.534071"	"95"	""			
"398.57370"	"398.573836"	"9"	""			
"398.58150"	"398.581676"	"18"	""			
"398.62182"	"398.6217060"	"63"	""			
"398.66047"	"398.660487"	"74"	""			
"398.720592"	"398.720532"	"920"	""			
"398.75540"	"398.755424"	"120"	""			
"398.78672"	"398.786669"	"140"	""			
"398.80780"	"398.808020"	"22"	""			
"398.84290"	"398.842887"	"170"	""			
"398.85191"	"398.851932"	"55"	""			
"398.89531"	"398.895265"	"55"	""			
"398.99608"	"398.996057"	"120"	""			
"399.00017"	"399.000090"	"240"	""			
"399.00215"	"399.002119"	"410"	""			
"399.049192"	"399.049199"	"1900"	""			
"399.08092"	"399.080897"	"320"	""			
"399.08928"	"399.089170"	"420"	""			
"399.12891"	"399.128773"	"32"	""			
"399.16241"	"399.162313"	"660"	""			
"399.173071"	"399.173064"	"1900"	""			
"399.33970"	"399.339160"	"220"	""			
"399.35147"	"399.351415"	"120"	""			
"399.40380"	"399.403537"	"10"	""			
"399.59554"	"399.595437"	"29"	""			
"399.62030"	"399.620268"	"640"	""			
"399.65096"	"399.650844"	"75"	""			
"399.66685"	"399.666911"	"390"	""			
"399.69309"	"399.693047"	"150*"	""			
"399.69309"	"399.693247"	"150*"	""			
"399.70168"	"399.701668"	"320"	""			
"399.71106"	"399.710905"	"130"	""			
"399.71721"	"399.717350"	"110"	""			
"399.73479"	"399.734699"	"82"	""			
"399.74430"	"399.743936"	"31"	""			
"399.80611"	"399.806103"	"350"	""			
"399.86564"	"399.865642"	"160"	""			
"399.87333"	"399.873313"	"500"	""			
"399.88017"	"399.879961"	"110"	""			
