obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,line_ref,Aki(s^-1),Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k
578.0438,0.0003,578.043735,1.4e-05,20,L3552,,,,,,,,,
578.1481,0.0002,578.14743,3e-05,83,L12239,,,,,,,,,
578.1578,7e-05,578.157734,6e-06,95,L5951,,,,,,,,,
578.16587,4e-05,578.165888,5e-06,340,L5951,,,,,,,,,
578.22423,4e-05,578.224231,1e-05,260,L5951,,,,,,,,,
578.2314,3e-05,578.231372,4e-06,420,L18702,,,,,,,,,
578.3839,0.0003,578.383188,2.4e-05,25,L12239,,,,,,,,,
578.4216,0.0003,578.42164,3e-05,13,L12239,,,,,,,,,
578.49238,0.00023,578.492098,3e-06,35,L12239,,,,,,,,,
578.51224,0.00023,578.512346,1.4e-05,40,L12239,,,,,,,,,
578.5866,0.0003,578.58655,1.7e-05,18,L12239,,,,,,,,,
578.6209,0.0003,578.6214,3e-05,29,L3552,,,,,,,,,
578.6784,0.0003,578.678693,2e-05,24,L12239,,,,,,,,,
578.7896,0.0003,578.789614,2.4e-05,30,L3552,,,,,,,,,
578.8027,0.0003,578.804023,2e-05,40,L3552,,,,,,,,,
578.93751,0.00023,578.93733,1.4e-05,36,L12239,,,,,,,,,
578.964495,4e-06,578.964495,3e-06,3400,L18702,,,,,,,,,
579.1032,0.0003,579.103122,1e-05,50,L3552,,,,,,,,,
579.17035,4e-05,579.170468,1e-05,240,L5951,,,,,,,,,
579.243027,5e-06,579.243024,3e-06,2700,L18702,,,,,,,,,
579.2685,0.0003,579.268085,2e-05,40,L3552,,,,,,,,,
579.5407,0.0003,579.540223,1.4e-05,10,L3552,,,,,,,,,
579.606825,8e-06,579.60682,3e-06,1600,L18702,,,,,,,,,
579.65207,0.00017,579.652322,6e-06,87,L12239,,,,,,,,,
579.731934,2e-05,579.731925,4e-06,570,L18702,,,,,,,,,
579.8088,0.0003,579.807852,7e-06,51,L3552,,,,,,,,,
579.826,0.0003,579.825866,2e-05,40,L3552,,,,,,,,,
579.84778,2.4e-05,579.847784,3e-06,450,L18702,,,,,,,,,
579.8765,0.0002,579.876216,1.1e-05,58,L12239,,,,,,,,,
580.0159,0.0003,580.016838,4e-06,10,L3552,,,,,,,,,
580.08295,4e-06,580.082948,3e-06,6000,L18702,,,,,,,,,
580.1027,0.0003,580.102624,5e-06,410,L3552,,,,,,,,,
580.2097,0.0003,580.209195,2e-05,30,L3552,,,,,,,,,
580.23871,0.00017,580.238517,8e-06,120,L12239,,,,,,,,,
580.28483,6e-05,580.284884,1.7e-05,140,L5951,,,,,,,,,
580.3735,0.0003,580.372989,1.1e-05,82,L3552,,,,,,,,,
580.3805,0.0003,580.379626,2.4e-05,51,L3552,,,,,,,,,
580.414107,3e-06,580.414105,3e-06,18000,L18702,,,,,,,,,
580.5244,0.0003,580.524059,2e-05,20,L3552,,,,,,,,,
580.5495,0.0003,580.549139,1.1e-05,260,L3552,,,,,,,,,
580.5612,0.0003,580.560624,6e-06,10,L3552,,,,,,,,,
580.57019,4e-05,580.570152,4e-06,270,L18702,,,,,,,,,
580.61978,5e-05,580.619682,7e-06,160,L5951,,,,,,,,,
580.65873,0.00024,580.658597,1.7e-05,49,L12239,,,,,,,,,
580.76814,3e-05,580.768144,6e-06,380,L5951,,,,,,,,,
580.7932,0.0003,580.792942,2.4e-05,10,L3552,,,,,,,,,
580.86568,7e-05,580.865591,4e-06,99,L5951,,,,,,,,,
580.9992,0.0003,580.99922,3e-05,18,L12239,,,,,,,,,
581.0453,0.0003,581.044732,8e-06,51,L3552,,,,,,,,,
581.18412,0.00014,581.184205,1.4e-05,110,L18702,,,,,,,,,
581.26982,0.0002,581.269891,1.1e-05,82,L12239,,,,,,,,,
581.29724,1e-05,581.297251,4e-06,1200,L18702,,,,,,,,,
581.31764,0.0002,581.317659,4e-06,55,L12239,,,,,,,,,
581.3534,0.0003,581.352935,5e-06,10,L3552,,,,,,,,,
581.4095,0.0003,581.409424,2.1e-05,14,L12239,,,,,,,,,
581.43665,0.00024,581.436051,2.1e-05,35,L12239,,,,,,,,,
581.47256,7e-05,581.472495,1.1e-05,89,L5951,,,,,,,,,
581.6182,0.0003,581.618203,1.4e-05,21,L12239,,,,,,,,,
581.7225,0.0003,581.722572,2.1e-05,15,L12239,,,,,,,,,
581.8218,0.0003,581.820994,2.1e-05,21,L3552,,,,,,,,,
581.84495,4e-05,581.844931,8e-06,330,L5951,,,,,,,,,
581.8801,0.0003,581.880022,7e-06,11,L12239,,,,,,,,,
581.9019,0.0003,581.90082,3e-05,12,L12239,,,,,,,,,
581.91271,7e-05,581.912682,3e-06,94,L5951,,,,,,,,,
581.92995,0.00024,581.929855,1.1e-05,38,L12239,,,,,,,,,
581.9354,0.0003,581.936847,2.1e-05,19,L12239,,,,,,,,,
581.96027,4e-05,581.960273,1.1e-05,300,L5951,,,,,,,,,
581.98999,6e-05,581.98994,4e-06,130,L5951,,,,,,,,,
582.00765,5e-05,582.007659,7e-06,190,L5951,,,,,,,,,
582.0298,0.0004,582.0294,3e-05,8,L12239,,,,,,,,,
582.0816,0.0003,582.081245,2.1e-05,29,L12239,,,,,,,,,
582.1691,0.0003,582.16798,3e-05,31,L3552,,,,,,,,,
582.20473,0.0002,582.205028,1.1e-05,53,L12239,,,,,,,,,
582.27932,3e-05,582.279341,7e-06,440,L5951,,,,,,,,,
582.3261,0.0003,582.32583,2.4e-05,21,L3552,,,,,,,,,
582.3555,0.0003,582.355244,7e-06,31,L3552,,,,,,,,,
582.48873,5e-05,582.488793,1.7e-05,210,L5951,,,,,,,,,
582.5003,6e-05,582.500263,6e-06,130,L5951,,,,,,,,,
582.6097,0.0003,582.609439,1.1e-05,260,L3552,,,,,,,,,
582.62721,4e-05,582.627247,1.7e-05,250,L5951,,,,,,,,,
582.63477,6e-05,582.634799,3e-06,110,L5951,,,,,,,,,
582.79,0.0003,582.788993,2.1e-05,21,L3552,,,,,,,,,
582.91096,5e-05,582.910965,1.1e-05,200,L5951,,,,,,,,,
582.9802,0.0003,582.981283,5e-06,28,L12239,,,,,,,,,
582.98624,4e-05,582.98619,3e-05,230,L5951,,,,,,,,,
583.0041,0.0003,583.003865,2.4e-05,11,L12239,,,,,,,,,
583.0144,0.0004,583.015001,2.1e-05,10,L12239,,,,,,,,,
583.082742,2.4e-05,583.08272,4e-06,500,L18702,,,,,,,,,
583.1002,0.0003,583.100251,6e-06,31,L3552,,,,,,,,,
583.1677,0.0003,583.167302,1.7e-05,29,L12239,,,,,,,,,
583.1751,0.0003,583.175446,7e-06,17,L12239,,,,,,,,,
583.237045,8e-06,583.237045,4e-06,1600,L18702,,,,,,,,,
583.3132,0.0003,583.312721,2.4e-05,21,L3552,,,,,,,,,
583.3849,0.0003,583.384981,2.4e-05,84,L3552,,,,,,,,,
583.4826,0.0004,583.48318,4e-05,9,L12239,,,,,,,,,
583.5167,0.0003,583.517077,2.4e-05,28,L12239,,,,,,,,,
583.7528,0.0003,583.753232,1.1e-05,19,L12239,,,,,,,,,
583.8064,0.0003,583.806149,2.4e-05,12,L12239,,,,,,,,,
