obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"380.01130"	"380.010890"	"320"	""			
"380.03721"	"380.037193"	"290"	""			
"380.05895"	"380.058939"	"250"	""			
"380.13211"	"380.132151"	"78"	""			
"380.19175"	"380.191714"	"100"	""			
"380.21481"	"380.214817"	"110"	""			
"380.23201"	"380.232291"	"15"	""			
"380.33690"	"380.337084"	"31"	""			
"380.43350"	"380.433110"	"130"	""			
"380.49944"	"380.499408"	"110"	""			
"380.53141"	"380.531762"	"7900"	""			
"380.53461"	"380.534605"	"270"	""			
"380.581969"	"380.581983"	"760"	""			
"380.59689"	"380.596847"	"400"	""			
"380.62300"	"380.623035"	"31"	""			
"380.62661"	"380.626529"	"78"	""			
"380.76694"	"380.767029"	"120"	""			
"380.787431"	"380.787428"	"2000"	""			
"380.81294"	"380.812944"	"270"	""			
"380.85128"	"380.851322"	"65"	""			
"380.86878"	"380.868915"	"56"	""			
"380.90868"	"380.908679"	"150"	""			
"380.91320"	"380.913340"	"50"	""			
"380.94538"	"380.945432"	"200"	""			
"380.96291"	"380.963057"	"16"	""			
"380.98349"	"380.983486"	"420"	""			
"381.02951"	"381.029500"	"250"	""			
"381.04995"	"381.049961"	"86"	""			
"381.05580"	"381.056217"	"33"	""			
"381.13580"	"381.135856"	"100"	""			
"381.19750"	"381.197287"	"50"	""			
"381.23000"	"381.230579"	"16"	""			
"381.306742"	"381.306743"	"2400"	""			
"381.33252"	"381.332540"	"92"	""			
"381.34000"	"381.340135"	"17"	""			
"381.36658"	"381.366636"	"260"	""			
"381.37513"	"381.375094"	"140"	""			
"381.50267"	"381.502700"	"230"	""			
"381.65612"	"381.656189"	"63"	""			
"381.66070"	"381.660944"	"84"	""			
"381.67945"	"381.679391"	"60"	""			
"381.72905"	"381.729131"	"56"	""			
"381.73661"	"381.736621"	"370"	""			
"381.80991"	"381.809920"	"84"	""			
"381.91611"	"381.916170"	"33"	""			
"381.92861"	"381.928615"	"89"	""			
"381.93426"	"381.934157"	"54"	""			
"381.99417"	"381.994219"	"130"	""			
"382.10321"	"382.102727"	"33"	""			
"382.143061"	"382.143060"	"1000"	""			
"382.17559"	"382.175541"	"56"	""			
"382.214561"	"382.214547"	"690"	""			
"382.33216"	"382.332188"	"180"	""			
"382.358502"	"382.358507"	"560"	""			
"382.38731"	"382.387168"	"16"	""			
"382.46451"	"382.464271"	"82"	""			
"382.47563"	"382.475538"	"99"	""			
"382.503399"	"382.503392"	"690"	""			
"382.55460"	"382.554815"	"33"	""			
"382.60214"	"382.602189"	"110"	""			
"382.69492"	"382.694927"	"290"	""			
"382.93044"	"382.930317"	"100"	""			
"382.94149"	"382.941508"	"87"	""			
"382.98337"	"382.98330"	"87*"	""			
"382.98337"	"382.98334"	"87*"	""			
"383.05098"	"383.051017"	"120"	""			
"383.08361"	"383.083960"	"400"	""			
"383.09460"	"383.094602"	"140"	""			
"383.15250"	"383.152464"	"130"	""			
"383.173639"	"383.173635"	"640"	""			
"383.18233"	"383.182268"	"84"	""			
"383.23469"	"383.234636"	"31"	""			
"383.27889"	"383.278874"	"190"	""			
"383.29717"	"383.297114"	"160"	""			
"383.32310"	"383.323066"	"160"	""			
"383.36955"	"383.369663"	"66"	""			
"383.40800"	"383.408113"	"31"	""			
"383.77940"	"383.779399"	"32"	""			
"383.88501"	"383.885145"	"32"	""			
"383.89640"	"383.896747"	"16"	""			
"383.94226"	"383.942292"	"130"	""			
"383.974735"	"383.974614"	"2800bl"	""			
"384.13580"	"384.135867"	"66"	""			
"384.195998"	"384.196002"	"2000"	""			
"384.29190"	"384.292339"	"410"	""			
"384.52230"	"384.522739"	"160"	""			
"384.55368"	"384.553673"	"230"	""			
"384.62490"	"384.624878"	"260"	""			
"384.67538"	"384.675401"	"200"	""			
"384.68318"	"384.683206"	"130"	""			
"384.68501"	"384.685035"	"290"	""			
"384.88231"	"384.882692"	"32"	""			
"384.95420"	"384.954358"	"16"	""			
"385.00920"	"385.009658"	"32"	""			
"385.01339"	"385.013380"	"330"	""			
