obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,line_ref
578.2043,0.0003,578.204553,2e-05,13,L12239
578.2499,0.0005,578.250281,1e-05,11,L2372
578.32081,0.0002,578.320411,2e-05,58,L12239
578.3757,0.0005,578.376328,2.4e-05,11,L2372
578.4385,0.0004,578.437717,1e-05,10,L12239
578.48624,6e-05,578.486267,1e-05,130,L5951
578.5498,0.0005,578.55098,6e-05,35,L2372
578.66647,0.00023,578.667482,2.4e-05,38,L12239
578.7541,0.0005,578.754693,2e-05,120,L2372
578.8193,0.0005,578.81949,2e-05,120,L2372
579.0136,0.0005,579.014103,1.7e-05,35,L2372
579.4377,0.0005,579.437962,2e-05,240,L2372
579.59568,0.00024,579.595275,1.7e-05,34,L12239
579.64179,4e-05,579.641766,8e-06,280,L5951
579.891,0.0005,579.890452,2.4e-05,23,L2372
580.1814,0.0003,580.181139,2.4e-05,20,L12239
580.2239,0.0005,580.223367,1.7e-05,300,L2372
580.4589,0.0005,580.45855,3e-05,12,L2372
580.62806,5e-05,580.628039,2.4e-05,210,L5951
580.80757,0.00024,580.807601,1.4e-05,34,L12239
580.8978,0.0005,580.897229,2e-05,48,L2372
580.94143,0.00024,580.941944,1.1e-05,32,L12239
581.0973,0.0005,581.09709,3e-05,97,L2372
581.2107,0.0005,581.209451,2e-05,12,L2372
581.28587,0.00024,581.285701,1.7e-05,41,L12239
581.54218,1e-05,581.542183,7e-06,1200,L18702
581.6994,0.0005,581.70069,3e-05,97,L2372
581.73168,0.0002,581.731372,2.1e-05,64,L12239
581.77347,6e-05,581.773432,7e-06,130,L5951
581.8624,0.0003,581.86344,7e-05,12,L12239
582.01688,0.00017,582.016911,8e-06,120,L12239
582.03798,5e-05,582.037942,1.1e-05,150,L5951
582.25217,7e-05,582.252189,1.7e-05,93,L5951
582.677,0.0004,582.67691,5e-05,9,L12239
582.8867,0.00024,582.88702,3e-05,36,L12239
583.0492,0.0005,583.05035,3e-05,120,L2372
583.1919,0.0003,583.192915,1.7e-05,25,L12239
583.2941,0.0005,583.29534,3e-05,12,L2372
583.5881,0.0005,583.588433,1.1e-05,62,L2372
583.6678,0.0004,583.667746,1.1e-05,10,L12239
583.7485,0.0005,583.748632,2.1e-05,0,L2372
583.89501,3e-05,583.895004,8e-06,470,L5951
584.9999,0.0005,584.999723,2.4e-05,12,L2372
585.0259,0.0003,585.02586,4e-05,15,L12239
585.21763,0.00024,585.217441,1.7e-05,32,L12239
585.3059,0.0005,585.30647,3e-05,62,L2372
585.377,0.0003,585.376817,1.4e-05,25,L12239
585.5023,0.0003,585.50293,3e-05,15,L12239
585.6385,0.0003,585.638031,2.1e-05,27,L12239
585.95252,4e-05,585.952575,1.7e-05,330,L5951
585.96686,3e-05,585.966887,8e-06,490,L5951
586.0879,0.0005,586.08892,3e-05,12,L2372
586.7348,0.0005,586.734301,2.1e-05,0,L2372
586.7621,0.0005,586.761062,1.7e-05,25,L2372
587.05526,3e-05,587.055285,7e-06,580,L5951
587.1447,0.0005,587.145089,7e-06,25,L2372
587.2312,0.0005,587.231213,2.1e-05,0,L2372
587.26027,4e-05,587.260257,1.4e-05,360,L5951
587.43513,5e-05,587.435101,1.1e-05,170,L5951
587.5279,0.0005,587.528186,1.1e-05,12,L2372
587.55,0.0003,587.549176,2.1e-05,16,L12239
587.5568,0.0004,587.556932,1.8e-05,9,L12239
587.7164,0.0003,587.71651,5e-05,10,L12239
587.82763,6e-05,587.827589,1.4e-05,140*,L5951
587.9048,0.0003,587.90473,3e-05,25,L12239
587.9479,0.0005,587.948138,1.8e-05,63,L2372
