obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"380.139"	"380.13904+"	"30"	""			
"380.190"	"380.19071+"	"3"	""			
"380.984"	"380.9844+"	"30"	""			
"382.374"	"382.3726+"	"10"	""			
"382.686"	"382.6855+"	"15"	""			
"383.56"	"383.5475+"	"2"	""			
"387.720"	"387.712+"	"2*"	""			
"387.720"	"387.712+"	"2*"	""			
"394.229"	"394.22868+"	"2"	""			
"394.8163"	"394.81598+"	"60"	""			
"394.872"	"394.87171+"	"10"	""			
"395.0924"	"395.09237+"	"120"	"5.6e+05"	C+		
"395.685"	"395.68437+"	"6"	""			
"396.75411"	"396.75405+"	"200"	"5.3e+05"	C+		
"397.4417"	"397.44158+"	"40"	"1.4e+05"	D+		
"398.5202"	"398.52027+"	"30"	""			
"400.455"	"400.440+"	"10*"	""			
"400.455"	"400.440+"	"10*"	""			
"407.88202"	"407.88193+"	"100"	""			
"410.97089"	"410.97076+"	"60"	""			
"411.61147"	"411.61135+"	"80"	""			
"412.355"	"412.352+"	"10"	""			
"413.5133"	"413.51320+"	"20"	""			
"414.678"	"414.68101+"	"2"	""			
"417.517"	"417.510+"	"6"	""			
"419.301"	"419.30087+"	"20"	""			
"419.3528"	"419.35296+"	"150"	"2.20e+05"	B		
"420.3695"	"420.3695+"	""	"1.1e+05"	D+		
"420.5404"	"420.5404+"	"10"	""			
"423.503"	"423.512+"	"15"	""			
"427.916"	"427.913+"	"2*"	""			
"427.916"	"427.913+"	"2*"	""			
"435.459"	"435.460+"	"6"	""			
"437.2287"	"437.2288+"	"20"	""			
"438.3908"	"438.3909+"	"100"	""			
"438.5768"	"438.5768+"	"70"	""			
"450.0978"	"450.0979+"	""	"1.46e+06"	C+		
"452.46805"	"452.4681+"	""	"4.6e+05"	C+		
"454.399"	"454.363+"	"6"	""			
"457.660"	"457.6603+"	""	""		E2	
"458.27472"	"458.2747+"	""	"1.3e+06"	C		
"461.18882"	"461.1890+"	"100"	"3.0e+04"	D		
"462.42756"	"462.4276+"	""	"2.42e+06"	B		
"466.226"	"466.229+"	"6"	""			
"467.12258"	"467.1226+"	""	"2.49e+06"	B		
"469.0970"	"469.0972+"	"100"	"2.8e+05"	C+		
"469.70208"	"469.7021+"	""	"7.36e+05"	B		
"470.821"	"470.8211+"	"5"	""			
"473.41518"	"473.4152+"	"600"	"1.38e+06"	C+		
"473.749"	"473.755+"	"6"	""			
"479.2619"	"479.2620+"	"150"	"1.2e+05"	D+		
"480.70190"	"480.7019+"	"500"	"4.29e+06"	B		
"482.9708"	"482.9708+"	"400"	"6.e+05"	D+		
"484.32934"	"484.3293+"	"300"	"7.02e+05"	B		
"491.6507"	"491.6506+"	"500"	"1.6e+06"	C+		
"492.3152"	"492.3151+"	"500"	"9.74e+05"	B		
"502.388"	"502.386+"	"3h"	""			
"502.82794"	"502.8279+"	"200"	"1.6e+05"	D+		
"511.646"	"511.64+"	"0"	""			
"512.724"	"512.70+"	"6"	""			
"516.2711"	"516.2702+"	"10"	""			
"516.439"	"516.4419+"	"1h"	""			
"516.730"	"516.7281+"	"1h"	""			
"518.585"	"518.593+"	"2h*"	""			
"518.585"	"518.575+"	"2h*"	""			
"520.607"	"520.607+"	"1"	"1.10e+05"	C		
"524.527"	"524.527+"	"4h"	""			
"524.898"	"524.898+"	"4h"	""			
"525.189"	"525.189+"	"2h"	""			
"527.348"	"527.346+"	"1h"	""			
"528.330"	"528.329+"	"2h"	""			
"528.611"	"528.610+"	"4h"	""			
"528.638"	"528.640+"	"3h"	""			
"530.637"	"530.636+"	"3"	"1.60e+05"	C+		
"533.591"	"533.5872+"	"1h-"	""			
