obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"380.099"	"380.0967+"	"15h"	""			
"380.568"	"380.5694+"	"1H"	""			
"380.729"	"380.7320+"	"10h"	""			
"381.067"	"381.0503+"	"0"	""			
"381.105"	"381.1044+"	"40"	""			
"381.516"	"381.5137+"	"1hw"	""			
"382.335"	"382.3473+"	"2"	""			
"382.627"	"382.6216+"	"2h"	""			
"382.977"	"382.9788+"	"10h"	""			
"384.858"	"384.8580+"	"6"	""			
"384.987"	"384.9870+"	"50Hl"	""			
"385.853"	"385.8530+"	"20"	""			
"386.963"	"386.9617+"	"20"	""			
"388.367"	"388.3772+"	"1H"	""			
"388.500"	"388.5028+"	"20"	""			
"388.545"	"388.5392+"	"4Hl"	""			
"390.534"	"390.5290+"	"1"	""			
"390.585"	"390.5855+"	"10"	""			
"390.791"	"390.7904+"	"100h"	""			
"391.660"	"391.6546+"	"1h"	""			
"392.078"	"392.0729+"	"1h"	""			
"392.680"	"392.6786+"	"1"	""			
"392.842"	"392.8380+"	""	""			
"393.322"	"393.3216+"	"1"	""			
"393.766"	"393.7618+"	"2"	""			
"393.892"	"393.8888+"	"15h"	""			
"394.221"	"394.2194+"	"3"	""			
"394.357"	"394.3581+"	"20"	""			
"395.161"	"395.1601+"	"5Hl"	""			
"395.473"	"395.4748+"	"20hl"	""			
"396.215"	"396.2146+"	"0"	""			
"397.258"	"397.2615+"	"50Hl"	""			
"397.559"	"397.5600+"	"4"	""			
"397.898"	"397.8999+"	"2h"	""			
"398.041"	"398.0398+"	"2h"	""			
"398.121"	"398.1165+"	"1h"	""			
"399.033"	"399.0298+"	"60Hl"	""			
"399.605"	"399.6045+"	"3"	""			
"400.055"	"400.0526+"	"5h"	""			
"400.235"	"400.2321+"	"80Hl"	""			
"400.309"	"400.3249+"	"1"	""			
"400.846"	"400.8374+"	"1H"	""			
"401.656"	"401.6586+"	"2h"	""			
"401.786"	"401.7876+"	"2h"	""			
"402.519"	"402.5170+"	"30"	""			
"402.620"	"402.6153+"	"5Hl"	""			
"402.682"	"402.6894+"	"0"	""			
"402.797"	"402.7885+"	"3h"	""			
"402.982"	"402.9843+"	"1-"	""			
"403.587"	"403.5897+"	"1"	""			
"403.729"	"403.7315+"	"100"	""			
"403.759"	"403.7543+"	"200"	""			
"403.969"	"403.9690+"	"1-"	""			
"404.464"	"404.4674+"	"6H"	""			
"404.490"	"404.4905+"	"8H"	""			
"405.127"	"405.1258+"	"10h"	""			
"405.746"	"405.7473+"	"200H"	""			
"406.212"	"406.2119+"	"6"	""			
"406.653"	"406.6581+"	""	""			
"407.210"	"407.2132+"	"6h"	""			
"407.350"	"407.3489+"	"15"	""			
"409.188"	"409.1922+"	"3h"	""			
"409.889"	"409.8935+"	"100h"	""			
"410.034"	"410.0332+"	"20"	""			
"410.097"	"410.0952+"	"1h"	""			
"410.310"	"410.3078+"	"8hl"	""			
"410.495"	"410.4940+"	"40"	""			
"411.041"	"411.0408+"	"30"	""			
"411.214"	"411.2116+"	"30Hl"	""			
"411.242"	"411.2410+"	"0"	""			
"411.326"	"411.3212+"	"2"	""			
"411.352"	"411.3514+"	"2"	""			
"412.186"	"412.1836+"	"5h"	""			
"413.101"	"413.0984+"	"20"	""			
"413.124"	"413.1408+"	"0"	""			
"413.881"	"413.8826+"	"3h"	""			
"414.819"	"414.8151+"	"2h*"	""			
"414.819"	"414.8187+"	"2h*"	""			
"415.274"	"415.2836+"	"1"	""			
"415.465"	"415.4635+"	"2"	""			
"415.617"	"415.6160+"	"2h"	""			
